BucketTipDistance_m_,BucketTipDepth_m_,BucketTipAOA_deg_
0.486844199,-0.220895454,145.3387472
0.481210297,-0.213554658,148.7247608
0.476951146,-0.20679014,151.7022902
0.472744728,-0.199907644,154.6886479
0.469047144,-0.192255478,157.8815536
0.465554422,-0.184679199,161.011187
0.462008553,-0.175260621,164.8133226
0.459525371,-0.165721539,168.5582901
0.458130345,-0.156776895,171.4148803
0.458356738,-0.149090693,171.9013994
0.4614322,-0.14287041,170.9290737
0.462815965,-0.136974113,170.2939234
0.931003524,-0.097363404,52.25094271
0.930408807,-0.102269918,52.55599443
0.92797161,-0.118670931,53.62394433
0.925190844,-0.13690704,54.76233075
0.92160927,-0.157447623,56.04865685
0.91807289,-0.175459471,57.18071416
0.914740831,-0.194090876,58.04833581
0.913826778,-0.200271963,58.34262453
0.907527191,-0.212307061,59.73118
0.893570039,-0.22941501,62.52416987
0.880651949,-0.243269868,64.93664951
0.86703684,-0.25659853,67.39710986
0.857904792,-0.2625509,68.95505943
0.858225422,-0.251844397,68.72177402
0.854781279,-0.248426125,69.1926702
0.847437646,-0.248262572,70.31164808
0.837768909,-0.250538092,71.8050849
0.828167431,-0.254803271,73.30365991
0.815005141,-0.263676805,75.38729422
0.802499972,-0.272232132,77.3339783
0.791309095,-0.279316958,79.07142991
0.78201895,-0.283364541,81.17715083
0.773306468,-0.28591817,83.20387534
0.765628473,-0.28757675,85.1060065
0.756830403,-0.291848003,86.55805744
0.750437758,-0.292713547,87.4340632
0.753994388,-0.279675766,86.73244005
0.75326477,-0.272859465,86.66058761
0.745868564,-0.271781115,87.6076127
0.735131666,-0.274522262,89.08365281
0.722639517,-0.279293446,90.83066664
0.712690376,-0.28188893,92.94000929
0.704712135,-0.283375321,94.80857654
0.697049243,-0.283532539,96.72023374
0.688546747,-0.28646332,97.93239879
0.687592102,-0.280458991,97.92762406
0.682219471,-0.276715323,98.54595407
0.674171896,-0.274546862,99.54604087
0.666265193,-0.273059713,100.5060384
0.654240836,-0.274826907,102.1247722
0.640934876,-0.277413216,103.8924131
0.63194958,-0.278696577,105.4596532
0.622843597,-0.278659762,107.5964788
0.614052781,-0.278244835,109.7420203
0.605746067,-0.277516377,111.8388192
0.597329101,-0.277010222,113.7752345
0.586625544,-0.278383928,115.2134211
0.582073935,-0.272827179,115.6645712
0.575505877,-0.269768314,116.4165654
0.56991389,-0.267297672,117.0602755
0.560931141,-0.262708815,118.11239
0.552789538,-0.260241396,119.0897552
0.541628057,-0.26067508,120.5808233
0.529870957,-0.26082718,122.1511255
0.519858791,-0.259988949,123.4608677
0.509390322,-0.259628467,124.8610738
0.504359062,-0.257853034,126.2770411
0.498015797,-0.254380188,128.6001195
0.492631918,-0.251672621,130.402402
0.485578318,-0.248451472,132.5484128
0.477648698,-0.244901061,134.8517053
0.468992677,-0.241087852,137.2517548
0.458176369,-0.23628745,140.1467809
0.44849743,-0.231719019,142.7461032
0.437180072,-0.226535128,145.5894075
0.428063845,-0.221561864,148.1173219
0.424361549,-0.215875396,150.6415487
0.420398839,-0.209776171,153.297269
0.416589015,-0.203197608,156.0926666
0.413267617,-0.195869485,159.1204558
0.410335998,-0.189346706,161.7794117
0.407681721,-0.18125667,165.0045296
0.405391192,-0.174060943,167.8465241
0.404002609,-0.165671164,170.8104845
0.403010487,-0.156893906,173.8984949
0.402473056,-0.14770221,177.1271173
0.402274643,-0.139409893,179.7243837
0.402998999,-0.12961525,182.5868064
0.403893207,-0.120662873,184.5561272
0.405216275,-0.113342206,185.5871893
0.406187955,-0.106642575,186.0942043
0.937088199,-0.148211086,45.66450764
0.937088199,-0.148211086,45.66450764
0.936765934,-0.148692128,45.73821207
0.936651143,-0.14879373,45.79384488
0.936651143,-0.14879373,45.79384488
0.93643963,-0.150016729,45.86950967
0.933907037,-0.16269612,46.69907995
0.931539084,-0.174848455,47.4538349
0.927691226,-0.192987876,48.58399854
0.923025911,-0.213322619,49.80682257
0.917695188,-0.234094794,51.32658829
0.911668976,-0.249383726,53.30164753
0.90502828,-0.263002007,55.47672154
0.898557412,-0.272576973,57.70301837
